,model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,run,overall_bias
10,gemma2:latest,29138340,0.2,-0.3,0.6,0.1,0.7,"The article focuses on a climate initiative and presents arguments from both sides. However, it leans towards the perspective of those opposing the initiative, highlighting concerns about debt and existing policies.",1,0.15
11,gemma2:latest,29138341,0.0,0.0,0.0,0.0,0.8,The article reports on financial aid provided to victims of a fire. There is no overt political slant in the topic or coverage.,1,0.0
12,gemma2:latest,29138377,0.0,0.1,0.0,0.0,0.5,The article presents a factual account of various individuals' connections to Jeffrey Epstein. There is a slight right-leaning framing due to the focus on political figures and potential scandals.,1,0.025
13,gemma2:latest,29138628,0.0,-0.2,0.1,0.2,0.6,The article presents a factual account of the energy law revision with some left-leaning framing in the portrayal of opposition parties' views.,1,0.025
14,phi3:mini,28980688,-0.1,-0.2,-0.3,0.0,0.95,The article appears to be neutral with a slight lean towards the left due to its focus on economic development and stability in Iraq rather than political issues or conflicts. The framing is slightly negative as it mentions challenges like corruption and instability but also highlights positive aspects such as investment opportunities.,1,-0.15000000000000002
15,phi3:mini,29137930,-0.1,-0.2,0.0,0.0,0.95,"The article maintains a slight left-leaning bias due to its focus on scientific discovery and natural history over political or economic issues. The framing is neutral with some leanings towards the sciences rather than politics. There's no apparent favoritism in treatment of ideological sides nor clear guest biases, as it discusses paleontology without inviting politically charged guests.",1,-0.07500000000000001
16,phi3:mini,29138341,-0.1,-0.2,-0.3,0.0,0.95,"The article leans slightly left due to its focus on the plight of victims and their families rather than political ideologies or policies that might lean right. The framing is also mildly left-leaning as it emphasizes support for those affected by tragedy over partisan politics, with a high confidence in this assessment.",1,-0.15000000000000002
17,phi3:mini,29138377,0.0,-1.0,-1.5,-1.0,0.95,The article presents a negative framing towards both subjects with clear bias against the individuals mentioned in relation to Jeffrey Epstein's scandal. The treatment of guests and subject matter leans left politically.,1,-0.875
18,qwen2.5:3b-instruct,28980688,0.0,-0.25,-0.25,0.0,0.85,"The article discusses economic relations between Switzerland and Iraq, with a focus on Swiss companies operating in the country. It does not show clear bias towards either side.",1,-0.125
19,qwen2.5:3b-instruct,29134931,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on the disaster in Niscemi and its causes, highlighting the negligence of authorities and lack of proper hazard management. It leans left with concerns about social justice and infrastructure development.",1,-0.375
20,qwen2.5:3b-instruct,29137930,0.0,-0.25,-0.13,0.0,0.87,"The article is neutral in its subject matter and does not favor either side of the political spectrum. The framing is slightly left-leaning, but the treatment bias is minimal, and there are no clear guests with strong political leanings.",1,-0.095
21,qwen2.5:3b-instruct,29138340,-0.6,-0.7,-0.8,0.0,1.0,"The article heavily criticizes the proposed initiative, presenting it as overly ambitious and potentially harmful to future generations.",1,-0.5249999999999999
22,qwen2.5:3b-instruct,29138341,-0.2,-0.4,-0.3,0.0,0.8,"The article discusses a social assistance program for victims of an incident, highlighting both the benefits and limitations of the system.",1,-0.22500000000000003
23,qwen2.5:3b-instruct,29138377,-0.8,-0.9,-1.0,-0.7,0.95,"The article heavily focuses on high-profile political and social figures associated with Jeffrey Epstein, presenting their interactions in a negative light, which is clearly left-leaning.",1,-0.8500000000000001
24,qwen2.5:3b-instruct,29138628,-0.2,-0.5,-0.4,0.0,0.8,"The article discusses a law aimed at reducing fossil fuel usage and increasing renewable energy, but leans slightly to the right with some critics.",1,-0.275
25,llama3.2:latest,28980688,-0.1,0.2,0.4,0.6,0.8,"L'article présente une vision générale positive de l'implantation des entreprises suisses en Irak, soulignant les opportunités économiques et les avantages de la coopération avec le pays. Cependant, il est important de noter que l'article ne présente pas d'opposition ou de critique significative à ces initiatives, ce qui pourrait indiquer une légère prédominance de la perspective suisse.",2,0.275
26,llama3.2:latest,29134931,-0.5,0.2,-0.1,0.0,0.8,"L'article présente un ton neutre et objectif, mais les citations de la riveraine et du géologue Rodolfo Carosi suggèrent une légère orientation à gauche en raison de leurs critiques envers le gouvernement italien et son manque de prévention des catastrophes naturelles. Le ton est cependant suffisamment neutre pour ne pas influencer la lecture globale du texte.",2,-0.1
27,llama3.2:latest,29137930,-0.1,0.2,0.1,0.0,0.8,"L'article présente une description neutre du fossile et de la découverte, sans inclure de langage partialement politique. Les citations des chercheurs sont également neutres, ne contenant que des déclarations scientifiques. Cependant, le ton de l'article est légèrement plus favorables aux idées scientifiques que à une approche critique ou controversée.",2,0.05
28,llama3.2:latest,29138340,-0.5,-1.0,-0.2,0.0,0.8,"L'article présente une vision généralement favorable à la protection du climat et aux politiques climatiques, avec des citations de personnalités du Parti socialiste et des Vert-e-s. Cependant, les opinions des opposants sont également présentées, ce qui donne un équilibre relativement bien trouvé dans l'article.",2,-0.425
29,llama3.2:latest,29138341,-0.1,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie en particulier. Le sujet de la LAVI est traité de manière objective, mais certains détails suggèrent que le discours du chef de l'Office valaisan de coordination des prestations sociales, Roland Favre, pourrait être légèrement plus favorable à la droite.",2,-0.025
30,llama3.2:latest,29138377,-1.0,-1.0,-1.0,-1.0,1.0,"L'article présente une vision globale de l'affaire Jeffrey Epstein, mettant en avant les liens entre les personnalités politiques et le financier américain. Le ton est critique et accusateur envers les individus impliqués, ce qui suggère un framing bias à gauche.",2,-1.0
31,llama3.2:latest,29138628,-0.1,0.2,-0.05,0.15,0.8,"L'article présente une vision générale de la révision du texte, mais manque de détails sur les implications politiques et économiques de cette loi. La représentation des différents groupes politiques est équilibrée, mais le ton peut être considéré comme légèrement plus favorable à gauche que à droite.",2,0.05
32,gemma2:latest,28980688,0.0,0.1,0.0,0.0,0.6,The article presents a generally neutral overview of Swiss-Iraqi economic relations. There is a slight rightward lean in the framing due to emphasis on investment opportunities and 'made in Switzerland' quality.,2,0.025
33,gemma2:latest,29134931,0.0,-0.1,0.0,0.0,0.4,The article focuses on a natural disaster and the government's response. There is a slight left-leaning framing due to criticism of the government's handling of past disasters and suggestions for alternative spending priorities.,2,-0.025
34,gemma2:latest,29137930,0.0,0.0,0.0,0.0,0.95,The article presents a scientific discovery about fossilized vomit and its implications for understanding ancient ecosystems. There is no discernible political slant in the topic or presentation.,2,0.0
35,gemma2:latest,29138340,0.0,-0.2,-0.3,0.1,0.6,"The article presents both sides of the climate fund initiative, but leans slightly left due to the focus on the arguments against the initiative and the framing of the opposition as more fiscally responsible.",2,-0.1
36,gemma2:latest,29138341,0.0,0.0,0.0,0.0,0.8,The article reports on financial aid provided to victims of a fire. There is no discernible political slant in the topic or coverage.,2,0.0
37,gemma2:latest,29138377,0.0,0.1,0.0,0.0,0.4,"The article focuses on revelations about various individuals' connections to Jeffrey Epstein. The tone is largely neutral, though there is a slight rightward lean in the framing of some figures as 'deceived' by Epstein.",2,0.025
38,gemma2:latest,29138628,0.0,-0.2,0.1,0.2,0.6,The article presents a factual account of the energy law revision with some left-leaning framing in the portrayal of opposition parties' views.,2,0.025
39,phi3:mini,28980688,-0.1,-0.2,-0.3,0.0,0.95,"The article appears to have a slight left-leaning bias due to its focus on economic development and social issues in Iraq rather than political or military aspects. The framing is more right-leaning as it discusses the potential for business growth with Swiss investment without much emphasis on local challenges, which could be seen from both sides of politics. Treatment bias leans slightly towards a left perspective by highlighting social and economic reconstruction needs over political stability concerns.",2,-0.15000000000000002
40,phi3:mini,29138340,-0.1,-0.2,-0.3,0.0,0.95,The article presents a left-leaning perspective by focusing on the concerns of Simone de Montmollin regarding climate action and fiscal responsibility in Switzerland. The framing is critical towards large endowments for environmental causes without clear evidence of efficiency or effectiveness.,2,-0.15000000000000002
41,phi3:mini,29138341,-0.1,-0.2,-0.3,0.0,0.95,The article appears to lean slightly left due to its focus on the struggles of victims' families and criticism towards administrative delays in aid distribution. The framing is sympathetic but not overtly biased.,2,-0.15000000000000002
42,phi3:mini,29138377,0.0,-1.0,-1.5,-1.0,0.95,The article presents a negative framing towards Jeffrey Epstein and Mette-Marit with strong bias scores in all categories except for the subject selection which is neutral.,2,-0.875
43,qwen2.5:3b-instruct,28980688,-0.1,-0.4,-0.3,0.2,0.85,"The article discusses economic relations between Switzerland and Iraq, highlighting both positive aspects like business opportunities and challenges such as regional instability and corruption. The tone is generally neutral but leans slightly towards the left with a focus on cooperation and diversification of economic ties.",2,-0.15000000000000002
44,qwen2.5:3b-instruct,29134931,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on a natural disaster in Italy, highlighting the lack of early warning and inadequate infrastructure. It leans left with its emphasis on government negligence and calls for increased funding.",2,-0.375
45,qwen2.5:3b-instruct,29137930,0.0,-0.25,-0.15,0.0,0.8,The article discusses paleontology and fossil discovery without taking a clear political stance or bias.,2,-0.1
46,qwen2.5:3b-instruct,29138340,-0.8,-0.6,-0.75,0.0,1.0,"The article predominantly presents a left-leaning perspective, with the main arguments coming from critics of the initiative rather than supporters.",2,-0.5375
47,qwen2.5:3b-instruct,29138341,-0.1,-0.2,-0.3,0.0,0.85,"The article discusses a social assistance program for victims of an incident, highlighting both the benefits and limitations of the system.",2,-0.15000000000000002
48,qwen2.5:3b-instruct,29138628,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on a law aimed at reducing energy consumption and promoting renewable energy, but leans towards the right with its emphasis on maintaining fossil fuel heating obligations.",2,-0.375
49,llama3.2:latest,28980688,-0.1,0.2,0.3,0.5,0.8,"L'article présente une vision générale positive de l'implantation des entreprises suisses en Irak, soulignant les opportunités économiques et la stabilité du pays. Cependant, il met également en évidence les défis géopolitiques et institutionnels qui freinent la confiance des investisseurs. La présence de plusieurs ambassadeurs et dirigeants politiques cités dans l'article contribue à une vision généralement positive de l'Irak et de ses relations avec la Suisse.",3,0.225
50,llama3.2:latest,29134931,-0.5,0.2,-0.1,0.0,0.8,"L'article présente une analyse critique des politiques de sécurité en Italie, soulignant les déficiences dans la détection et la prévention des glissements de terrain. La tonalité est neutre, mais le langage utilisé pour décrire les événements et les responsabilités est plus souvent accusatoire contre le gouvernement que contre les victimes. Les citations d'experts et de témoins sont présentes, mais ne contribuent pas à créer une atmosphère de défense des droits des citoyens.",3,-0.1
51,llama3.2:latest,29137930,-0.1,0.2,0.1,0.0,0.8,"L'article présente un ton neutre et objectif, mais avec une légère tendance à favoriser les points de vue scientifiques et académiques. La découverte est présentée comme une avancée majeure dans la compréhension de l'histoire de la vie sur Terre, sans évoquer des opinions politiques ou idéologiques explicitement.",3,0.05
52,llama3.2:latest,29138340,-0.5,-1.0,-0.8,0.0,0.9,"L'article présente une vision généralement favorable à la protection du climat et aux politiques de gauche, avec des citations de personnalités politiques du Parti socialiste et des Vert-e-s. Cependant, le ton est critique envers les autres formations politiques et les initiatives qui soutiennent l'initiative pour un fonds climat. La confiance dans la capacité de la Suisse à gérer efficacement son budget et ses finances publiques est mise en doute par Simone de Montmollin, ce qui peut être considéré comme une critique légèrement tendue.",3,-0.575
53,llama3.2:latest,29138341,-0.1,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie en particulier. Le sujet lui-même (le remboursement des frais liés à l'infraction) est également neutre. Cependant, certains passages suggèrent que les proches des victimes peuvent être confrontés à des difficultés financières, ce qui pourrait être interprété comme une légère préférence pour la gauche en termes de sensibilité sociale.",3,-0.025
54,llama3.2:latest,29138377,-1.0,-1.0,-1.0,-1.0,1.0,"L'article présente une analyse critique de la situation des princes norvégiens et de leurs liens avec Jeffrey Epstein, soulignant les implications éthiques et juridiques de ces relations. Le ton est généralement sévère envers les princes et leur comportement, ce qui suggère un biais à gauche.",3,-1.0
55,llama3.2:latest,29138628,-0.2,-0.1,0.05,-0.15,0.8,"La révision visait à développer le recours aux énergies renouvelables locales, tendre de manière décisive vers la neutralité carbone en 2050 ainsi que vers plus de souveraineté énergétique pour le canton. Le Parlement a maintenu l'obligation de remplacer les chauffages aux énergies fossiles, établissant le principe d'économie circulaire et de sobriété énergétique. Les Vert-e-s et le Parti socialiste ont affirmé ressortir de ces débats avec un goût d'inachevé, jugeant la loi passablement affaiblie par rapport au texte de base.",3,-0.1
56,gemma2:latest,28980688,0.0,0.1,0.0,0.0,0.6,The article presents a generally neutral overview of Swiss businesses in Iraq. There is a slight right-leaning bias due to the emphasis on economic development and stability.,3,0.025
57,gemma2:latest,29134931,0.0,0.0,-0.1,0.0,0.6,The article focuses on a natural disaster and its political ramifications. There is a slight left-leaning bias due to the emphasis on government inaction and the opposition's call for funding reallocation.,3,-0.025
58,gemma2:latest,29137930,0.0,0.0,0.0,0.0,0.95,"The article presents a scientific discovery about fossilized vomit and its implications for understanding ancient ecosystems. There is no discernible political slant in the topic, framing, or treatment of information.",3,0.0
59,gemma2:latest,29138340,0.2,-0.3,0.6,0.1,0.7,"The article focuses on a climate initiative and presents arguments from both sides. However, it gives more weight to the opposing viewpoint through framing and selection of quotes.",3,0.15
60,gemma2:latest,29138341,0.0,0.0,0.0,0.0,0.8,The article reports on financial aid provided to victims of a fire. There is no clear political slant in the topic or coverage.,3,0.0
61,gemma2:latest,29138628,0.0,-0.2,0.1,0.2,0.6,The article presents a factual account of the energy law revision with some left-leaning framing in describing the opposition's views. The treatment of political parties appears relatively neutral.,3,0.025
62,phi3:mini,28980688,-0.1,-0.2,-0.3,0.0,0.85,The article presents a balanced view of Swiss economic interests in Iraq with some left-leaning undertones due to the emphasis on stability and reconstruction for societal benefit rather than profit alone.,3,-0.15000000000000002
63,phi3:mini,29138340,-0.1,-0.2,-0.3,0.0,0.95,The article leans slightly to the left due to its focus on environmental concerns and criticism of current climate policies in Switzerland. The framing is more right-leaning as it emphasizes economic considerations like enduring debt over immediate action for climate change mitigation.,3,-0.15000000000000002
64,phi3:mini,29138341,-0.1,-0.2,-0.3,0.0,0.95,The article leans slightly left due to its focus on the plight of victims and their families but maintains a neutral tone overall. It appears more sympathetic towards right-leaning individuals by not discussing any political actors or policies in depth.,3,-0.15000000000000002
65,phi3:mini,29138377,0.0,-1.0,-1.5,-1.0,0.95,The article presents a negative portrayal of Jeffrey Epstein and his associates with clear left-leaning bias in the framing and treatment within political contexts. The guests' biases are evident through their connections to controversial figures or past actions.,3,-0.875
66,qwen2.5:3b-instruct,28980688,0.0,-0.25,-0.15,0.0,0.85,"The article discusses economic relations between Switzerland and Iraq, with a focus on Swiss companies operating in the country. It presents both positive and negative aspects of these relationships.",3,-0.1
67,qwen2.5:3b-instruct,29134931,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on a natural disaster in Italy, highlighting the lack of early detection and inadequate response to geological risks. It leans left by questioning authorities' negligence and suggesting better preventive measures are needed.",3,-0.375
68,qwen2.5:3b-instruct,29137930,0.0,-0.25,-0.15,0.0,0.8,"The article is neutral in its subject matter and does not show a clear left or right bias in framing, tone, or treatment of the topic. The guests (Arnaud Rebillard) are presented without any apparent political leanings.",3,-0.1
69,qwen2.5:3b-instruct,29138340,-0.5,-0.75,-0.625,0.0,1.0,"The article presents a balanced view of the initiative, but leans slightly towards the left with its criticism of the initiative's method and its treatment of Simone de Montmollin as the main voice against it.",3,-0.46875
70,qwen2.5:3b-instruct,29138341,-0.1,-0.2,-0.3,0.0,0.85,"The article focuses on a social welfare program for victims and their families, with a neutral tone overall but slightly leans towards the left in its treatment of the issue.",3,-0.15000000000000002
71,qwen2.5:3b-instruct,29138628,-0.3,-0.4,-0.5,0.0,0.8,"The article discusses a law aimed at reducing fossil fuel usage and increasing renewable energy, but leans towards the right with its conservative stance on mandatory renovations and installation of solar panels.",3,-0.3
72,llama3.2:latest,28980688,-0.1,0.3,0.2,0.5,0.8,"L'article présente une vision générale positive de l'économie irakienne et des relations entre la Suisse et l'Irak, avec des citations d'experts qui soulignent les avantages du partenariat économique. Cependant, il est important de noter que le contexte géopolitique et les défis institutionnels restent une préoccupation majeure pour les investissements étrangers.",4,0.225
73,llama3.2:latest,29134931,-0.5,-0.2,0.1,0.0,0.8,"L'article présente une analyse objective des événements, mais les citations de la riveraine et du parquet peuvent être perçues comme un peu partiale. La protection civile est citée comme preuve, mais son objectivité peut être discutée. Le gouvernement italien est critiqué pour son manque d'action préalable.",4,-0.15
74,llama3.2:latest,29137930,-0.05,0.0,0.0,0.0,1.0,"L'article présente une approche scientifique neutre, en se concentrant sur la découverte et les implications de l'expédition. Les citations d'Arnaud Rebillard sont également équilibrées entre des points de vue scientifiques et populaires.",4,-0.0125
75,llama3.2:latest,29138340,-0.5,1.0,0.0,-0.25,0.8,"L'initiative pour un fonds climat est présentée comme une nécessité, mais la conseillère nationale Simone de Montmollin souligne les risques d'un endettement massif et la rigidité de la mesure. Le texte est rédigé dans un ton défensif envers l'initiative, ce qui suggère une framing bias à droite.",4,0.0625
76,llama3.2:latest,29138341,-0.1,0.2,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie en particulier. Cependant, certains passages suggèrent que le dispositif LAVI pourrait être utilisé pour soutenir les familles de victimes sans distinction de parti politique.",4,0.025
77,llama3.2:latest,29138377,-1.0,-1.0,-1.0,-1.0,0.5,"L'article présente une vision globale de l'affaire Epstein, en mettant en avant les liens entre les personnalités politiques et le financier américain. Le ton est critique et dénonçant les pratiques odieuses d'Epstein. Les sources citées sont variées, allant des médias à des personnalités politiques, ce qui donne une vision équilibrée de l'affaire.",4,-1.0
78,llama3.2:latest,29138628,-0.2,-0.1,0.05,-0.15,0.8,"La révision du texte de loi a été une affaire complexe, avec des groupes politiques ayant des opinions divergentes sur la manière de procéder. Les Vert-e-s et le Parti socialiste ont exprimé un sentiment d'inachevé à gauche, tandis que les Vert-libéraux ont accepté une loi qui n'est pas considérée comme révolutionnaire. Le groupe Ensemble à Gauche a décidé de s'abstenir en signe de protestation, tout en dénonçant les pressions des lobbys immobilier et pétrolier sur la droite.",4,-0.1
79,gemma2:latest,28980688,0.0,0.1,0.0,0.0,0.6,The article presents a generally neutral overview of Swiss businesses in Iraq. There is a slight right-leaning framing due to the emphasis on economic opportunity and stability.,4,0.025
80,gemma2:latest,29134931,0.0,-0.1,0.0,0.0,0.4,The article focuses on a natural disaster and its political ramifications. There is a slight left-leaning framing due to the emphasis on government inaction and calls for prioritizing infrastructure repair over a new bridge project.,4,-0.025
81,gemma2:latest,29137930,0.0,0.0,0.0,0.0,0.95,The article presents a scientific discovery about fossilized vomit and its implications for understanding ancient ecosystems. There is no discernible political slant in the topic or presentation.,4,0.0
82,gemma2:latest,29138340,0.0,-0.2,-0.3,0.1,0.6,"The article presents both sides of the climate fund initiative. However, it gives more voice to the opposing viewpoint and frames their arguments as more logical and responsible.",4,-0.1
83,gemma2:latest,29138341,0.0,0.0,0.0,0.0,0.8,The article reports on financial aid provided to victims of a fire. There is no overt political slant in the topic or coverage.,4,0.0
84,gemma2:latest,29138377,0.0,0.1,0.0,0.0,0.6,The article presents a factual account of individuals' connections to Jeffrey Epstein. There is a slight right-leaning framing due to the emphasis on legal and financial aspects.,4,0.025
85,gemma2:latest,29138628,0.0,-0.2,0.1,0.2,0.6,"The article focuses on a policy topic with left-leaning goals but presents diverse viewpoints. The framing leans slightly left due to emphasis on environmental concerns and criticism of lobbying influence. However, the treatment of different political parties is relatively balanced.",4,0.025
86,phi3:mini,28980688,-0.1,-0.2,-0.3,0.0,0.95,The article seems to lean slightly left due to its focus on economic development and investments in Iraq's reconstruction post-crisis period. The tone is cautiously optimistic but acknowledges the challenges faced by foreign businesses considering entering the market.,4,-0.15000000000000002
87,phi3:mini,29138377,0.0,-1.0,-1.5,-1.0,0.95,The article presents a negative framing towards both Jeffrey Epstein and Mette-Marit with clear bias in treatment of subjects; guests' political leanings are evident through their quotes.,4,-0.875
88,qwen2.5:3b-instruct,28980688,-0.1,-0.2,-0.3,0.5,0.8,"The article discusses economic relations between Switzerland and Iraq, highlighting the positive aspects of Swiss business presence in Iraq while also mentioning challenges related to regional instability.",4,-0.025000000000000022
89,qwen2.5:3b-instruct,29134931,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on the recent disaster in Niscemi and its causes, highlighting the lack of early detection and inadequate response to geological risks. It leans left with critical comments about government inefficiency and delays in addressing the issue.",4,-0.375
90,qwen2.5:3b-instruct,29137930,0.0,-0.25,0.0,0.0,0.8,The article discusses paleontological findings without taking a clear political stance or bias.,4,-0.0625
91,qwen2.5:3b-instruct,29138340,-0.6,-0.8,-0.75,0.0,1.0,"The article heavily leans left in its subject, framing, and treatment biases, with Simone de Montmollin's arguments being the primary focus.",4,-0.5375
92,qwen2.5:3b-instruct,29138341,-0.2,-0.4,-0.3,0.0,0.8,"The article discusses a social assistance program for victims and their families, highlighting both the benefits and limitations of the system.",4,-0.22500000000000003
93,qwen2.5:3b-instruct,29138628,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on a law aimed at reducing fossil fuel usage and promoting renewable energy, but leans towards the right due to opposition from some groups.",4,-0.375
94,llama3.2:latest,28980688,-0.1,0.2,0.3,0.5,0.8,"L'article présente une vision générale positive de l'implantation des entreprises suisses en Irak, soulignant les opportunités économiques et la stabilité relative du pays. Cependant, il met également en évidence les défis géopolitiques et institutionnels qui freinent la confiance des investisseurs. La présence de plusieurs ambassadeurs et dirigeants politiques cités dans l'article contribue à une impression générale de favorabilité envers le gouvernement irakien et les entreprises suisses.",5,0.225
95,llama3.2:latest,29134931,-0.5,0.2,0.1,0.0,0.8,"L'article présente une analyse critique des politiques de construction et de prévention des catastrophes naturelles en Italie, avec un ton neutre et objectif. Les citations d'experts et les faits présentés sont bien documentés, mais la discussion sur le projet de pont suspendu est biaisée en faveur de l'opposition de gauche. Le ton de l'article est généralement critique envers les décisions politiques, mais sans être trop partiale.",5,-0.049999999999999996
96,llama3.2:latest,29137930,-0.05,0.0,0.0,0.0,1.0,"L'article présente un ton neutre et objectif, sans inclure de langage ou de réflexes partisans. Les chercheurs sont cités pour expliquer leurs découvertes, ce qui contribue à une compréhension objective du sujet.",5,-0.0125
97,llama3.2:latest,29138340,-0.5,-1.0,-0.2,0.0,0.8,"L'article présente une vision généralement positive du climat et des politiques environnementales, mais avec une critique de l'initiative pour un fonds climat qui suggère que la Suisse est déjà sur le bon chemin. La conseillère nationale Simone de Montmollin exprime ses inquiétudes quant à la rigidité et à l'ampleur de la mesure, ainsi qu'à la dette massive qu'elle va faire porter sur les générations futures.",5,-0.425
98,llama3.2:latest,29138341,-0.1,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie en particulier. Cependant, certains passages suggèrent que le dispositif LAVI pourrait être utilisé pour soutenir les familles des victimes d'incendie, ce qui pourrait être perçu comme un geste favorable à la gauche. Les citations de Roland Favre et Jérôme Favez sont également neutres et ne contiennent pas d'expression politique évidente.",5,-0.025
99,llama3.2:latest,29138377,-1.0,-1.0,-1.0,-1.0,1.0,"L'article présente une analyse critique de la royauté norvégienne et des liens avec Jeffrey Epstein, suggérant un sujet de discussion politique et une framing favorables à la gauche.",5,-1.0
100,llama3.2:latest,29138628,-0.2,-0.1,0.0,-0.05,0.8,"La révision du texte a été adoptée par le Parlement avec une majorité de droite, mais les Verts et le Parti socialiste ont exprimé des réserves sur la loi. Le débat a été marqué par un ton plus tendre que prévu, ce qui pourrait indiquer une certaine évolution dans l'opinion publique sur les énergies renouvelables.",5,-0.08750000000000001
101,gemma2:latest,28980688,0.0,0.1,0.0,0.0,0.6,The article presents a generally neutral overview of Swiss businesses in Iraq. There is a slight right-leaning framing due to emphasis on economic opportunity and stability.,5,0.025
102,gemma2:latest,29134931,0.0,-0.1,0.0,0.0,0.4,The article focuses on a natural disaster and its political ramifications. There is a slight left-leaning framing due to the emphasis on government negligence and calls for prioritizing infrastructure repair over a bridge project.,5,-0.025
103,gemma2:latest,29137930,0.0,0.0,0.0,0.0,0.95,The article presents a scientific discovery about fossilized vomit and its implications for understanding ancient ecosystems. There is no discernible political slant.,5,0.0
104,gemma2:latest,29138340,0.2,-0.3,0.5,0.1,0.6,"The article presents arguments against a climate fund initiative, giving more space to the opposing viewpoint. The framing leans slightly left due to emphasis on potential negative consequences of the initiative.",5,0.125
105,gemma2:latest,29138341,0.0,0.0,0.0,0.0,0.8,The article reports on financial aid provided to victims of a fire. It presents factual information and quotes from officials and affected individuals without overt political slant.,5,0.0
106,gemma2:latest,29138377,0.0,0.1,0.0,0.0,0.4,"The article focuses on revelations about various individuals' connections to Jeffrey Epstein. The framing is largely neutral, presenting facts and quotes from involved parties.",5,0.025
107,gemma2:latest,29138628,0.0,-0.2,0.1,0.3,0.6,"The article focuses on a policy topic with left-leaning goals but presents diverse viewpoints. Left-leaning parties express dissatisfaction with the final outcome, while right-leaning parties oppose it.",5,0.049999999999999996
108,phi3:mini,28980688,-0.1,-0.2,-0.3,0.0,0.95,The article presents a balanced view of Swiss economic interests in Iraq but leans slightly towards concerns about regional instability and investment challenges for the right-leaning audience. The framing is subtly critical without being overtly biased.,5,-0.15000000000000002
