,model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,overall_bias
23,phi3:mini,29138340,-0.1,-0.5,-0.4,0.0,0.95,The article appears to lean slightly left due to its focus on environmental concerns and skepticism towards the proposed climate fund's effectiveness in addressing these issues quickly without significant debt implications for future generations.,-0.25
24,phi3:mini,29138341,-0.1,-0.2,-0.3,0.0,0.95,The article appears to lean slightly left due to its focus on social support for victims' families and the mention of solidarity efforts without significant right-leaning elements or criticisms towards such measures.,-0.15000000000000002
25,phi3:mini,29138377,0.0,-1.0,-1.5,-1.0,0.95,"The article exhibits a clear left-leaning bias through its negative portrayal of Jeffrey Epstein and the subjects associated with him. The framing is consistently critical towards right figures like Jack Lang and Peter Mandelson while sympathetically depicting Mette-Marit, Sarah Ferguson, and Andrew as victims or misguided individuals rather than culpable parties.",-0.875
26,qwen2.5:3b-instruct,28980688,0.0,-0.25,-0.15,0.0,0.85,"The article discusses economic relations between Switzerland and Iraq, with a focus on Swiss companies operating in the country and Iraqi businesswomen seeking to promote Swiss-Saudi partnerships. The tone is neutral but leans slightly towards the right due to its emphasis on successful Swiss businesses and their positive image.",-0.1
27,qwen2.5:3b-instruct,29134931,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on a recent disaster in Niscemi, Italy, and discusses the lack of early warning systems and inadequate government response to geological risks. It highlights political debates about funding for infrastructure projects versus immediate safety measures.",-0.375
28,qwen2.5:3b-instruct,29137930,0.0,-0.25,0.0,0.0,0.8,The article focuses on paleontological discovery and does not show any clear bias towards left or right.,-0.0625
29,qwen2.5:3b-instruct,29138340,-0.6,-0.8,-0.75,0.0,1.0,"The article heavily criticizes the initiative for climate fund, presenting it as overly ambitious and potentially detrimental to future generations' financial stability.",-0.5375
30,qwen2.5:3b-instruct,29138341,-0.2,-0.4,-0.3,0.0,0.85,"The article discusses a social assistance program for victims of an incident, highlighting both the benefits and limitations of the system.",-0.22500000000000003
31,qwen2.5:3b-instruct,29138377,-0.8,-0.7,-0.6,-0.5,1.0,"The article heavily focuses on high-profile political and cultural figures associated with Jeffrey Epstein, presenting their interactions in a negative light.",-0.65
32,qwen2.5:3b-instruct,29138628,-0.4,-0.6,-0.5,0.0,0.85,"The article highlights the divided opinions on a new energy law, with critics from the left and center-left expressing dissatisfaction while supporters are more positive.",-0.375
